specialty_code;profile;institution_name;education_form;funding;category;plan_places;current_places;fraction
Sp 01.04.02;Прикладная математика и информатика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 02.03.01;Анализ данных и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Общая;30;4;0.13333333333333333
Sp 02.03.01;Анализ данных и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Особая;3;1;0.3333333333333333
Sp 02.03.01;Анализ данных и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 02.03.01;Анализ данных и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Целевая;5;0;0.0
Sp 02.03.01;Математическое и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Общая;22;2;0.09090909090909091
Sp 02.03.01;Математическое и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 02.03.01;Математическое и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 02.03.01;Математическое и компьютерное моделирование;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 02.03.03;Искусственный интеллект;УУНиТ;Очная;Бюджетная основа;Общая;45;8;0.17777777777777778
Sp 02.03.03;Искусственный интеллект;УУНиТ;Очная;Бюджетная основа;Особая;5;0;0.0
Sp 02.03.03;Искусственный интеллект;УУНиТ;Очная;Бюджетная основа;Отдельная;5;0;0.0
Sp 02.03.03;Искусственный интеллект;УУНиТ;Очная;Бюджетная основа;Целевая;9;0;0.0
Sp 02.03.03;Технологии программирования;УУНиТ;Очная;Бюджетная основа;Общая;28;14;0.5
Sp 02.03.03;Технологии программирования;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 02.03.03;Технологии программирования;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 02.03.03;Технологии программирования;УУНиТ;Очная;Бюджетная основа;Целевая;6;0;0.0
Sp 02.03.03;Математическое обеспечение и администрирование информационных систем (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;18;11;0.6111111111111112
Sp 02.03.03;Математическое обеспечение и администрирование информационных систем (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Особая;2;0;0.0
Sp 02.03.03;Математическое обеспечение и администрирование информационных систем (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Отдельная;2;0;0.0
Sp 02.03.03;Математическое обеспечение и администрирование информационных систем (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;3;2;0.6666666666666666
Sp 02.04.01;Математика и компьютерные науки;УУНиТ;Очная;Бюджетная основа;Общая;9;3;0.3333333333333333
Sp 02.04.01;Математика и компьютерные науки;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 02.04.03;Математическое обеспечение и администрирование информационных систем;УУНиТ;Очная;Бюджетная основа;Общая;9;2;0.2222222222222222
Sp 02.04.03;Математическое обеспечение и администрирование информационных систем;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 03.03.01;Прикладные математика и физика;УУНиТ;Очная;Бюджетная основа;Общая;25;3;0.12
Sp 03.03.01;Прикладные математика и физика;УУНиТ;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 03.03.01;Прикладные математика и физика;УУНиТ;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 03.03.01;Прикладные математика и физика;УУНиТ;Очная;Бюджетная основа;Целевая;3;2;0.6666666666666666
Sp 03.03.02;Физика;УУНиТ;Очная;Бюджетная основа;Общая;40;6;0.15
Sp 03.03.02;Физика;УУНиТ;Очная;Бюджетная основа;Особая;4;0;0.0
Sp 03.03.02;Физика;УУНиТ;Очная;Бюджетная основа;Отдельная;4;0;0.0
Sp 03.03.02;Физика;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 03.03.02;Физика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;25;9;0.36
Sp 03.03.02;Физика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Особая;3;1;0.3333333333333333
Sp 03.03.02;Физика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 03.03.02;Физика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 03.03.03;Радиофизика;УУНиТ;Очная;Бюджетная основа;Общая;20;1;0.05
Sp 03.03.03;Радиофизика;УУНиТ;Очная;Бюджетная основа;Особая;2;0;0.0
Sp 03.03.03;Радиофизика;УУНиТ;Очная;Бюджетная основа;Отдельная;2;0;0.0
Sp 03.03.03;Радиофизика;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 03.04.01;Прикладная математика и физика;УУНиТ;Очная;Бюджетная основа;Общая;8;0;0.0
Sp 03.04.01;Прикладная математика и физика;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 03.04.02;Медицинская физика (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;13;10;0.7692307692307693
